2026-06-28 17:28:23.998 | INFO | app.core.middleware:dispatch:23 | POST /api/v1/user/token -> 200 (1890.20 ms)
2026-06-28 17:28:25.339 | INFO | app.core.middleware:dispatch:23 | GET /api/v1/user/me -> 200 (1327.95 ms)
2026-06-28 17:28:27.991 | INFO | app.core.middleware:dispatch:23 | GET /api/v1/posts -> 200 (2575.25 ms)
2026-06-28 17:28:31.985 | INFO | app.core.middleware:dispatch:23 | GET /api/v1/user/1/posts -> 200 (1716.27 ms)
2026-06-28 17:28:42.875 | INFO | app.core.middleware:dispatch:23 | PATCH /api/v1/user/1/picture -> 200 (6200.65 ms)
2026-06-28 17:28:44.170 | INFO | app.core.middleware:dispatch:23 | GET /api/v1/user/me -> 200 (1284.50 ms)
2026-06-28 17:28:57.175 | INFO | app.core.middleware:dispatch:23 | GET /api/v1/posts -> 200 (1521.37 ms)
2026-06-28 17:34:20.042 | INFO | app.core.middleware:dispatch:23 | GET /api/v1/user/me -> 200 (2555.77 ms)
2026-06-28 17:34:20.627 | INFO | app.core.middleware:dispatch:23 | GET /api/v1/posts -> 200 (3140.87 ms)
2026-06-28 17:34:30.993 | INFO | app.core.middleware:dispatch:23 | GET /api/v1/user/me -> 200 (1231.96 ms)
2026-06-28 17:34:31.792 | INFO | app.core.middleware:dispatch:23 | GET /api/v1/posts -> 200 (2031.08 ms)
2026-06-28 17:42:41.545 | INFO | app.core.middleware:dispatch:23 | OPTIONS /api/v1/user/me -> 200 (0.22 ms)
2026-06-28 17:42:46.946 | INFO | app.core.middleware:dispatch:23 | GET /api/v1/user/me -> 200 (5397.89 ms)
2026-06-28 17:42:47.740 | INFO | app.core.middleware:dispatch:23 | GET /api/v1/posts -> 200 (6175.66 ms)
2026-06-28 17:42:51.015 | INFO | app.core.middleware:dispatch:23 | GET /api/v1/user/me -> 200 (1394.82 ms)
2026-06-28 17:42:51.529 | INFO | app.core.middleware:dispatch:23 | GET /api/v1/posts -> 200 (1900.66 ms)
2026-06-28 17:43:43.548 | INFO | app.core.middleware:dispatch:23 | GET /api/v1/user/1/posts -> 200 (2482.60 ms)
2026-06-28 17:44:26.299 | INFO | app.core.middleware:dispatch:23 | OPTIONS /api/v1/user/1/picture -> 200 (0.10 ms)
2026-06-28 17:44:33.203 | INFO | app.core.middleware:dispatch:23 | PATCH /api/v1/user/1/picture -> 200 (6901.82 ms)
2026-06-28 17:44:34.443 | INFO | app.core.middleware:dispatch:23 | GET /api/v1/user/me -> 200 (1227.80 ms)
2026-06-28 17:48:36.414 | INFO | app.core.middleware:dispatch:23 | GET /api/v1/posts -> 200 (7193.54 ms)
2026-06-28 17:48:44.645 | INFO | app.core.middleware:dispatch:23 | OPTIONS /api/v1/posts -> 200 (0.41 ms)
2026-06-28 17:48:46.347 | INFO | app.core.middleware:dispatch:23 | POST /api/v1/posts -> 422 (1695.12 ms)
2026-06-28 17:49:55.468 | INFO | app.core.middleware:dispatch:23 | POST /api/v1/posts -> 422 (4401.14 ms)
2026-06-28 17:52:31.118 | INFO | app.api.v1.posts:create_post:68 | Content-Type: application/json
2026-06-28 17:53:11.261 | INFO | app.api.v1.posts:create_post:68 | Content-Type: application/json
2026-06-28 17:53:11.263 | INFO | app.api.v1.posts:create_post:73 | Received post: title='This is working fine', content_length=8
2026-06-28 17:53:11.264 | INFO | app.services.post_service:create_post:90 | Post created with the title This is working fine, by user with id 1 
2026-06-28 17:53:16.380 | INFO | app.core.middleware:dispatch:23 | POST /api/v1/posts -> 201 (9546.76 ms)
2026-06-28 17:53:16.406 | INFO | app.core.middleware:dispatch:23 | OPTIONS /api/v1/posts/3/picture -> 200 (0.52 ms)
2026-06-28 17:53:23.238 | INFO | app.core.middleware:dispatch:23 | PATCH /api/v1/posts/3/picture -> 200 (6826.15 ms)
2026-06-28 17:53:24.774 | INFO | app.core.middleware:dispatch:23 | GET /api/v1/posts/3 -> 200 (1468.74 ms)
2026-06-28 17:53:35.101 | INFO | app.core.middleware:dispatch:23 | GET /api/v1/posts -> 200 (2095.57 ms)
2026-06-28 17:53:35.427 | INFO | app.core.middleware:dispatch:23 | OPTIONS /api/v1/user/me -> 200 (0.17 ms)
2026-06-28 17:53:36.460 | INFO | app.core.middleware:dispatch:23 | GET /api/v1/user/me -> 200 (1029.82 ms)
